New York,13231107
New Jersey,4883171
Massachusetts,2475673
Illinois,2316059
California,2211456
Pennsylvania,1970295
Michigan,1753801
Florida,1480283
Texas,1282385
Louisiana,1258141
Connecticut,1116652
Georgia,1084055
Maryland,950641
Indiana,764794
Ohio,755119
Washington,707111
Virginia,692810
Colorado,649106
Tennessee,486777
North Carolina,459988
Arizona,348419
Missouri,336833
Rhode Island,332313
Wisconsin,321457
Alabama,319025
Iowa,314108
Mississippi,295400
Minnesota,282491
South Carolina,264996
Nevada,222290
Utah,205581
Kentucky,203552
Nebraska,201088
Delaware,191719
District of Columbia,190158
Kansas,187170
Oklahoma,158406
New Mexico,144662
Arkansas,134312
Oregon,115862
South Dakota,100555
New Hampshire,97186
Idaho,89993
Puerto Rico,71061
Maine,51587
West Virginia,47805
North Dakota,44513
Guam,42669
Vermont,40628
Hawaii,28266
Wyoming,24368
Montana,21483
Alaska,16291
Virgin Islands,3028
Northern Mariana Islands,689
